codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000610000000000011411,71,8.0,8.0,8.0,6.0,6.0,4.0,8.0,11.0,4.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,,,32,4.0,2.0,0.44,0.72
5000610000000000011412,91,6.0,8.0,8.0,5.0,7.0,14.0,11.0,7.0,6.0,7.0,5.0,5.0,2.0,,,,,,,,,41,5.0,2.1,0.32,0.71
5000610000000000011413,70,6.0,4.0,6.0,10.0,5.0,4.0,6.0,4.0,6.0,9.0,7.0,2.0,,,,1.0,,,,,,27,5.0,2.8,0.37,0.74
5000610000000000011414,31,4.0,3.0,2.0,3.0,5.0,4.0,2.0,4.0,,1.0,1.0,,,,1.0,,1.0,,,,,17,4.0,2.0,,0.65
5000610000000000011415,72,7.0,7.0,10.0,4.0,5.0,6.0,13.0,9.0,3.0,3.0,1.0,,4.0,,,,,,,,,28,5.0,2.0,0.21,0.75
5000610000000000011416,60,2.0,5.0,7.0,9.0,2.0,3.0,4.0,5.0,6.0,4.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,,23,4.0,2.0,0.26,0.83
5000610000000000011417,68,6.0,9.0,6.0,5.0,6.0,4.0,4.0,8.0,6.0,3.0,5.0,2.0,2.0,,,2.0,,,,,,22,3.0,2.0,,0.95
5000610000000000011418,86,5.0,7.0,7.0,14.0,15.0,6.0,4.0,5.0,8.0,3.0,6.0,2.0,4.0,,,,,,,,,29,3.0,1.0,0.1,0.79
5000610000000000011419,69,5.0,8.0,3.0,4.0,7.0,7.0,7.0,6.0,7.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,,,,,,25,3.0,1.0,0.2,0.84
5000610000000000011420,60,7.0,6.0,7.0,7.0,2.0,11.0,3.0,6.0,1.0,5.0,,3.0,,1.0,,,1.0,,,,,22,4.0,2.0,0.27,0.77
5000610000000000011421,90,12.0,7.0,7.0,8.0,6.0,7.0,9.0,8.0,8.0,4.0,4.0,5.0,1.0,1.0,,1.0,1.0,1.0,,,,28,4.0,2.0,0.46,0.82
5000610000000000011422,56,5.0,5.0,6.0,4.0,6.0,7.0,2.0,6.0,4.0,3.0,,2.0,3.0,1.0,,,2.0,,,,,26,3.0,2.0,0.23,0.73
5000610000000000011423,56,2.0,2.0,6.0,7.0,4.0,1.0,5.0,7.0,10.0,4.0,3.0,1.0,4.0,,,,,,,,,26,5.0,2.0,0.31,0.92
5000610000000000011424,122,9.0,15.0,11.0,12.0,8.0,11.0,16.0,8.0,11.0,3.0,3.0,6.0,4.0,1.0,2.0,2.0,,,,,,38,3.0,1.1,0.18,0.87
5000610000000000011425,113,14.0,10.0,7.0,6.0,10.0,15.0,9.0,5.0,6.0,11.0,5.0,7.0,4.0,1.0,1.0,,1.0,,1.0,,,43,3.0,1.1,0.19,0.93
5000610000000000011426,72,5.0,6.0,6.0,5.0,8.0,9.0,7.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,,1.0,,1.0,,,,28,4.0,1.2,0.11,0.82
5000610000000000020102,67,7.0,4.0,5.0,5.0,9.0,7.0,6.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,,,,,1.0,,,26,3.0,2.0,0.08,0.88
5000610000000000020103,187,13.0,9.0,17.0,10.0,14.0,23.0,8.0,13.0,9.0,12.0,10.0,10.0,12.0,8.0,7.0,6.0,4.0,1.0,1.0,,,64,4.0,2.2,0.22,0.94
5000610000000000020104,16,,1.0,,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,,2.0,,,,,8,5.0,3.0,0.5,0.75
5000610000000000020105,33,1.0,2.0,3.0,3.0,,2.0,4.0,3.0,2.0,,2.0,4.0,2.0,,2.0,2.0,1.0,,,,,12,4.0,3.0,0.42,0.83
5000610000000000020106,15,,1.0,1.0,,1.0,3.0,1.0,,4.0,,,,,1.0,1.0,1.0,1.0,,,,,10,4.0,2.9,0.3,0.7
